sample,POINTID,TH_LAT,TH_LONG
22,,53.8655536,-1.322254948
10,48162858.0,48.63205722,16.72379813
16,45242946.0,49.59185947,12.80800561
3,46362900.0,49.12992643,14.3179017
13,42723778.0,57.1020883,9.19235457
17,52444130.0,59.30987611,26.33832027
25,50284232.0,60.60403422,22.95275729
28,50704620.0,63.94197909,25.33416493
24,33622846.0,47.97055214,-2.911898108
7,35082780.0,47.5958095,-0.847671902
19,35522672.0,46.69043931,-0.078680684
18,40042506.0,45.5887857,5.94129953
23,33802810.0,47.6799518,-2.59415881
11,38043086.0,50.65272955,2.675762137
4,43663254.0,52.39359669,10.66104641
15,45222812.0,48.38822096,12.71341771
14,54001904.0,39.42501865,22.52231594
21,51722766.0,47.4203359,21.32034722
1,52643142.0,50.60942596,23.40765177
12,48903448.0,53.83238936,18.66487488
6,50363026.0,49.90769296,19.98784712
26,27702222.0,41.36098366,-8.674812639
2,31962066.0,40.79688704,-3.347667334
5,52503710.0,55.62669098,24.86220793
8,41582462.0,45.24968654,7.926693859
9,46742002.0,41.02961674,14.18156839
27,47043994.0,58.88607284,16.64022909
20,45303910.0,58.24456284,13.55472579
